B2;GN
28,4145332768;20,513890393
15,4106361745;20,7399876326
15,1384171341;21,4667927607
13,2187114141;11,2747969709
11,6585135002;16,7746883759
18,4595052838;23,1306366039
13,7916730162;19,8830898811
17,7968040365;25,6318086304
17,7150268953;13,3736302606
9,928933094;11,8591197368
14,7924528975;22,8786971858
18,5212871444;16,6423409789
17,5118924624;17,1948505158
18,2819670582;18,1107192037
16,6528072706;18,2894742963
16,8681634006;22,3882485758
32,6111813531;23,5492087832
0;11,2747969709
11,0331458658;14,1714168076
23,975168413;50,0752914806
28,9449767602;11,0022504607
19,4824213915;16,1251126308
21,3913755203;28,0226806433
13,4370106883;29,3679997404
26,7160936895;18,1713494833
27,3705938739;17,5429244995
15,6550738455;28,0226806433
16,0536192109;16,5289073745
17,0646159797;14,4194168312
17,1087948652;15,482882829
